Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
20/09/2022 15:50,3.73,6831.12,4498.88132,1136.13868,-1166.92,ACTUAL
20/09/2022 15:55,118.99,6910.72,4544.55565,1083.44435,-1244,ACTUAL
20/09/2022 16:00,149.98,7026.54,4782.14021,999.23979,-1209.52,ACTUAL
20/09/2022 16:05,149.98,7112.62,4961.76096,924.03904,-1192.08,ACTUAL
20/09/2022 16:10,121.12014,7213.61,5062.97145,836.60855,-1269.92,ACTUAL
20/09/2022 16:15,121.1101,7251.01,5129.7832,753.8568,-1315.96,ACTUAL
20/09/2022 16:20,121.53573,7341.59,5262.55689,757.54311,-1269.87,ACTUAL
20/09/2022 16:25,149.98,7445.15,5559.47218,655.01782,-1182.34,ACTUAL
20/09/2022 16:30,149.98,7552.8,5724.21242,616.44758,-1161.97,ACTUAL
20/09/2022 16:35,72.64008,7631.85,5583.63754,600.71246,-1383.98,ACTUAL
20/09/2022 16:40,121.12014,7681.58,5759.69933,548.28067,-1313.61,ACTUAL
20/09/2022 16:45,135.8001,7793.1,5919.87902,469.95098,-1342.42,ACTUAL
20/09/2022 16:50,200.01,7915.27,6237.55126,412.38874,-1207.99,ACTUAL
20/09/2022 16:55,149.98,7997.81,6435.90237,365.30763,-1129.17,ACTUAL
20/09/2022 17:00,265.31045,8089.91,6601.44018,355.00982,-1068.99,ACTUAL
20/09/2022 17:05,215.01012,8140.05,6683.39904,352.24096,-1033.2,ACTUAL
20/09/2022 17:10,146.71,8225.53,6726.79447,317.68553,-1100.3,ACTUAL
20/09/2022 17:15,149.98,8295.93,6859.24027,286.38973,-1070.63,ACTUAL
20/09/2022 17:20,253.73916,8428.79,7062.24162,266.83838,-1000.97,ACTUAL
20/09/2022 17:25,252.06672,8543.53,7221.19062,247.02938,-971.82,ACTUAL
20/09/2022 17:30,249.93192,8584.45,7332.09283,212.70717,-923.24,ACTUAL
20/09/2022 17:35,250.31974,8706.9,7395.88383,204.28617,-992.11,ACTUAL
20/09/2022 17:40,248.42724,8727.76,7449.39855,204.86145,-961.48,ACTUAL
20/09/2022 17:45,251.81179,8849.45,7452.44547,216.04453,-1065.08,ACTUAL
20/09/2022 17:50,260.74467,8912.05,7476.01331,210.72669,-1103,ACTUAL
20/09/2022 17:55,299.99,8963.7,7574.30865,215.61135,-1070.06,ACTUAL
20/09/2022 18:00,271.13036,9053.07,7680.03455,220.41545,-1049.23,ACTUAL
20/09/2022 18:05,275.18111,9110.46,7702.08127,212.45873,-1087.21,ACTUAL
20/09/2022 18:10,270.80999,9171.43,7719.35957,245.32043,-1096.93,ACTUAL
20/09/2022 18:15,359.11451,9255.66,7780.87137,280.21863,-1083.75,ACTUAL
20/09/2022 18:20,385.24671,9305.8,7873.46016,286.15984,-1048.7,ACTUAL
20/09/2022 18:25,261.67035,9345.45,7779.95963,314.69037,-1137.35,ACTUAL
20/09/2022 18:30,299.99,9351.25,7736.65246,347.87754,-1174.1,ACTUAL
20/09/2022 18:35,299.99,9344.06,7722.52325,372.46675,-1139.03,ACTUAL
20/09/2022 18:40,279.02934,9360.17,7843.65263,409.30737,-1017.48,ACTUAL
